"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_fm_enrage_spirit_duration"                                           "Duration:"
		"DOTA_Tooltip_ability_fm_enrage_spirit_mana"                                           "Mana Restore:"

		"DOTA_Tooltip_ability_fm_incinerate"                                              "Incinerate"
		"DOTA_Tooltip_ability_fm_incinerate_Description"                                  "Unleash a fireball that will deal damage on impact and cause the target to burn. Only the impact damage is reduced to fire"
		"DOTA_Tooltip_ability_fm_incinerate_damage"                                              "Damage:"
		"DOTA_Tooltip_ability_fm_incinerate_burn"                                              "Burn:"
		"DOTA_Tooltip_ability_fm_incinerate_duration"                                              "Duration:"
		"DOTA_Tooltip_ability_fm_incinerate_duration"                                              "%Reduc to Fire:"

		"DOTA_Tooltip_ability_fm_meteor"                                                  "Meteor"
		"DOTA_Tooltip_ability_fm_meteor_Description"                                      "Calls down a meteor that does damage to current boss. Has unlimited range. Boss will gain temporary resistance to Meteor once the spell has finished casting."
		"DOTA_Tooltip_ability_fm_meteor_damage"                                                  "Damage:"
		"DOTA_Tooltip_ability_fm_meteor_channel"                                                  "Channel Time:"
		"DOTA_Tooltip_ability_fm_meteor_immune"                                                  "Immune Time:"
		"DOTA_Tooltip_ability_fm_meteor_reduction"                                                  "%Reduc to Fire:"

		"DOTA_Tooltip_ability_fm_mystic_veil"                                             "Mystic Veil"
		"DOTA_Tooltip_ability_fm_mystic_veil_Description"                                 "Mystical energy surrounds this unit protecting it from enemy attacks and spells"
		"DOTA_Tooltip_ability_fm_mystic_veil_duration"                                             "Duration:"

		"DOTA_Tooltip_ability_fm_phoenix_aura"                                            "Legacy of the Phoenix"
		"DOTA_Tooltip_ability_fm_phoenix_aura_Description"                                "Gives nearby friendly units a chance on offensive spell cast to restore 20 mana and caster units a 10% chance on attack to restore 30 mana."

		"DOTA_Tooltip_ability_fm_scorch"                                                  "Scorch"
		"DOTA_Tooltip_ability_fm_scorch_Description"                                      "Sends out a wave of flame dealing 240 damage"
		"DOTA_Tooltip_ability_fm_scorch_damage"                                                  "Damage:"
		"DOTA_Tooltip_ability_fm_scorch_reduction"                                                  "%Reduc to Fire:"
		"DOTA_Tooltip_ability_fm_scorch_amplify"                                                  "%Amp to Ice/water:"

		///FrostMage

		"DOTA_Tooltip_frost_buff"                                                         "Frozen Fervor"
		"DOTA_Tooltip_frost_buff_Description"                                             "Has increased Damage and Mana Regen but losing Health"

		"DOTA_Tooltip_modifier_fr_chill"                                                  "Chill"
		"DOTA_Tooltip_modifier_fr_chill_Description"                                      "Restores 150 health and 20 mana on kill"

		"DOTA_Tooltip_field_mod"                                                          "Freezing Field"
		"DOTA_Tooltip_field_mod_Description"                                              "Attack and Movement slowed"

		"DOTA_Tooltip_insta_mod"                                                          "Insta Cold"
		"DOTA_Tooltip_insta_mod_Description"                                              "Attack and Movement slowed"

		"DOTA_Tooltip_modifier_ice_shield"                                                "Ice Armor"
		"DOTA_Tooltip_modifier_ice_shield_Description"                                    "Absorbs 750 damage and immune to Boss CC"

		///-------------------------------------------------


		"DOTA_Tooltip_ability_fr_buff"                                                    "Frozen Fervor"
		"DOTA_Tooltip_ability_fr_buff_Description"                                        "Increase attack damage and mana regen but causes the unit to take damage per second"
		"DOTA_Tooltip_ability_fr_buff_increase"                                                    "%Attack Damage:"
		"DOTA_Tooltip_ability_fr_buff_mana"                                                    "Mana Regen:"
		"DOTA_Tooltip_ability_fr_buff_damage"                                                    "Dmg to self:"
		"DOTA_Tooltip_ability_fr_buff_duration"                                                    "Duration:"

		"DOTA_Tooltip_ability_fr_charge"                                                  "Cold Shoulder"
		"DOTA_Tooltip_ability_fr_charge_Description"                                      "Slide at a high speed toward target enemy dealing damage on impact."
		"DOTA_Tooltip_ability_fr_charge_damage"                                                  "Damage:"
		"DOTA_Tooltip_ability_fr_charge_reduction"                                                  "%Reduc to Ice/Water:"

		"DOTA_Tooltip_ability_fr_chill"                                                   "Chill"
		"DOTA_Tooltip_ability_fr_chill_Description"                                       "Restores Health and Mana on kill"

		"DOTA_Tooltip_ability_fr_field"                                                   "Freezing Field"
		"DOTA_Tooltip_ability_fr_field_Description"                                       "Slams the ground with immense force by dealing damage and slowing movement rate and attack rate of nearby enemy units"
		"DOTA_Tooltip_ability_fr_field_damage"                                                   "Damage:"
		"DOTA_Tooltip_ability_fr_field_AS"                                                   "%Attack Slow:"
		"DOTA_Tooltip_ability_fr_field_MS"                                                   "%Move Slow:"
		"DOTA_Tooltip_ability_fr_field_duration"                                                   "Duration:"
		"DOTA_Tooltip_ability_fr_field_reduction"                                                   "%Reduc to Ice/Water:"

		"DOTA_Tooltip_ability_fr_insta"                                                   "Insta Cold"
		"DOTA_Tooltip_ability_fr_insta_Description"                                       "Blasts an enemy unit with frost. Cold damage slows units' movement and attack rate"
		"DOTA_Tooltip_ability_fr_insta_damage"                                                   "Damage:"
		"DOTA_Tooltip_ability_fr_insta_AS"                                                   "%Attack Slow:"
		"DOTA_Tooltip_ability_fr_insta_MS"                                                   "%Move Slow:"
		"DOTA_Tooltip_ability_fr_insta_duration"                                                   "Duration:"
		"DOTA_Tooltip_ability_fr_insta_reduction"                                                   "%Reduc to Ice/Water:"
		"DOTA_Tooltip_ability_fr_insta_amplify"                                                   "%Amp to Fire/Lightning:"

		"DOTA_Tooltip_ability_fr_shield"                                                  "Ice Armor"
		"DOTA_Tooltip_ability_fr_shield_Description"                                      "Shields an ally in Ice that will protect them from damage. Also the target will be immune to boss's crowd control while the shield holds"
		"DOTA_Tooltip_ability_fr_shield_absorb"                                                    "Absorb Amount:"
		"DOTA_Tooltip_ability_fr_shield_duration"                                                    "Duration:"

		///Warrior

		"DOTA_Tooltip_modifier_thunder_clap"                                              "Taunt Stomp"
		"DOTA_Tooltip_modifier_thunder_clap_Description"                                  "This Unit has reduced movement and attack speed"

		"DOTA_Tooltip_tank_avatar"                                                        "Warrior Spirit"
		"DOTA_Tooltip_tank_avatar_Description"                                            "This Unit has increased health and damage"

		"DOTA_Tooltip_shield_wall"                                                        "Shield Wall"
		"DOTA_Tooltip_shield_wall_Description"                                            "This unit is immune to damage"

		"DOTA_Tooltip_modifier_hoof_stomp"                                                "Titan Slam"
		"DOTA_Tooltip_modifier_hoof_stomp_Description"                                    "This unit has its damaged reduced"

		"DOTA_Tooltip_modifier_tank_taunt"                                                "Taunted"
		"DOTA_Tooltip_modifier_tank_taunt_Description"                                    "This unit is forced to attack the Warrior"

		///----------------------------------------------------------------

		"DOTA_Tooltip_ability_or_avatar"                                                  "Warrior Spirit"
		"DOTA_Tooltip_ability_or_avatar_Description"                                      "The Warrior gains increased health, damage, and size at a cost of movement speed"
		"DOTA_Tooltip_ability_or_avatar_health"                                                  "Bonus Health:"
		"DOTA_Tooltip_ability_or_avatar_damage"                                                  "Bonus Damage:"
		"DOTA_Tooltip_ability_or_avatar_duration"                                                  "Duration:"

		"DOTA_Tooltip_ability_or_charge"                                                  "Charge"
		"DOTA_Tooltip_ability_or_charge_Description"                                      "Dash toward target point at an incredible speed."
		"DOTA_Tooltip_ability_or_charge_range"                                                  "Max Range:"

		"DOTA_Tooltip_ability_or_counter_spell"                                           "Sheild Bash"
		"DOTA_Tooltip_ability_or_counter_spell_Description"                               "Deals damage and prevents your target's current spell from being cast. If a spell is successfully countered by this ability, double damage is dealt. Only affects abilities in GRAY text"
		"DOTA_Tooltip_ability_or_counter_spell_damage"                                           "Damage:"

		"DOTA_Tooltip_ability_or_shield_wall"                                             "Shield Wall"
		"DOTA_Tooltip_ability_or_shield_wall_Description"                                 "Switch into a perfect stance preventing all damage from attacks and spells"
		"DOTA_Tooltip_ability_or_shield_wall_duration"                                             "Duration:"

		"DOTA_Tooltip_ability_or_titan_slam"                                              "Titan Slam"
		"DOTA_Tooltip_ability_or_titan_slam_Description"                                  "Slams the target with immense force dealing damage and lowering your targets attack damage. Also lowers the Boss's Mana"
		"DOTA_Tooltip_ability_or_titan_slam_damage"                                              "Damage:"
		"DOTA_Tooltip_ability_or_titan_slam_reduce"                                              "Damage Reduction%:"
		"DOTA_Tooltip_ability_or_titan_slam_deplete"                                              "Energy Deplete:"
		"DOTA_Tooltip_ability_or_titan_slam_duration"                                              "Duration:"

		"DOTA_Tooltip_ability_or_war_stomp"                                               "Taunt Stomp"
		"DOTA_Tooltip_ability_or_war_stomp_Description"                                   "Forces enemies to attack the warrior, after a short delay the Warrior releases a stomp that damages and slows attack and movement speed of enemies"
		"DOTA_Tooltip_ability_or_war_stomp_radius"                                               "Taunt Radius:"
		"DOTA_Tooltip_ability_or_war_stomp_tauntdur"                                               "Taunt Duration:"
		"DOTA_Tooltip_ability_or_war_stomp_delay"                                               "Delay:"
		"DOTA_Tooltip_ability_or_war_stomp_damage"                                               "Stomp Damage:"
		"DOTA_Tooltip_ability_or_war_stomp_slowradius"                                               "Stomp Radius:"
		"DOTA_Tooltip_ability_or_war_stomp_AS"                                               "%Attack Slow:"
		"DOTA_Tooltip_ability_or_war_stomp_MS"                                               "%Move Slow:"
		"DOTA_Tooltip_ability_or_war_stomp_slowdur"                                               "Stomp Duration:"

		///Paladin


		"DOTA_Tooltip_modifier_pl_aura_effect"                                            "Sanctuary Aura"
		"DOTA_Tooltip_modifier_pl_aura_effect_Description"                                "Units will be healed more by the Paladin"

		"DOTA_Tooltip_blessing_mod"                                                       "Blessing Mod"
		"DOTA_Tooltip_blessing_mod_Description"                                           "Unit is taking reduced damage and is protected from death"

		"DOTA_Tooltip_protection_mod"                                                     "Protection Mod"
		"DOTA_Tooltip_protection_mod_Description"                                         "Has been saved from death and is immune to damage"

		"DOTA_Tooltip_divine_mod"                                                         "Divine Mod"
		"DOTA_Tooltip_divine_mod_Description"                                             "This unit is immune to all damage"

		"DOTA_Tooltip_exodus_mod"                                                         "Exodus Mod"
		"DOTA_Tooltip_exodus_mod_Description"                                             "Preparing to sacrifice for the greater good"

		"DOTA_Tooltip_strike_safe"                                                        "Invulnerability"
		"DOTA_Tooltip_strike_safe_Description"                                            "Immune to Damage"

		"DOTA_Tooltip_strike_speed"                                                       "Devine Fury"
		"DOTA_Tooltip_strike_speed_Description"                                           "Has increases attack speed and Onhit Damage"

		"DOTA_Tooltip_taunt_mod"                                                          "Taunted"
		"DOTA_Tooltip_taunt_mod_Description"                                              "This unit is taunted"

		//-------------------------------------------------

		"DOTA_Tooltip_ability_pl_aura"                                                    "Pl Aura"
		"DOTA_Tooltip_ability_pl_aura_Description"                                        ""

		"DOTA_Tooltip_ability_pl_blessing"                                                "Blessing of Protection"
		"DOTA_Tooltip_ability_pl_blessing_Description"                                    "Protect target ally reducing all damage taken. Any damage taken that would kill the target, will instead grant them a short period of invulnerability and increased Health regen. Can not be cast on other Paladins."
		"DOTA_Tooltip_ability_pl_blessing_reduction"                                                "%Damage Reduction:"
		"DOTA_Tooltip_ability_pl_blessing_duration"                                                "Reduction Duration:"
		"DOTA_Tooltip_ability_pl_blessing_immune"                                                "Invulnerability Duration:"
		"DOTA_Tooltip_ability_pl_blessing_heal"                                                "Invulnerability Regen:"

		"DOTA_Tooltip_ability_pl_divine_shield"                                           "Divine Shield"
		"DOTA_Tooltip_ability_pl_divine_shield_Description"                               "Surrounds this unit in divine light preventing all damage from attacks and spells for 4 sec."
		"DOTA_Tooltip_ability_pl_divine_shield_duration"                                           "Duration:"

		"DOTA_Tooltip_ability_pl_exodus"                                                  "Exodus"
		"DOTA_Tooltip_ability_pl_exodus_Description"                                      "Consumes your life and resurrect all fallen allies with 100% health and the mana they died with. Players will be unable to cast resurrect or Exodus for 45 seconds. Can not be cast while invulnerable."
		"DOTA_Tooltip_ability_pl_exodus_channel"                                                  "Channel Time:"

		"DOTA_Tooltip_ability_pl_heal"                                                    "Heal"
		"DOTA_Tooltip_ability_pl_heal_Description"                                        "Heals a target friendly. Units within range of your Sanctuary Aura will receive bonus healing. Units within range and under 20% health will receive additional bonus healing"
		"DOTA_Tooltip_ability_pl_heal_heal"                                                    "Heal:"
		"DOTA_Tooltip_ability_pl_heal_close"                                                    "Bonus::"
		"DOTA_Tooltip_ability_pl_heal_bonus"                                                    "Additional:"
		"DOTA_Tooltip_ability_pl_heal_aura"                                                    "Aura Range:"

		"DOTA_Tooltip_ability_pl_strike"                                                  "Rightous Strike"
		"DOTA_Tooltip_ability_pl_strike_Description"                                      "Slashes the target with divine force dealing magic damage and granting you a period of invulnerability. Grants the Paladin attack speed, bonus magic damage, and mana depletion on hit"
		"DOTA_Tooltip_ability_pl_strike_damage"                                                  "Stike Damage:"
		"DOTA_Tooltip_ability_pl_strike_onhit"                                                  "Onhit Damage:"
		"DOTA_Tooltip_ability_pl_strike_immune"                                                  "Invulnerabliity Duration:"
		"DOTA_Tooltip_ability_pl_strike_duration"                                                  "Duration:"
		"DOTA_Tooltip_ability_pl_strike_mana"                                                  "Deplete Onhit:"
		"DOTA_Tooltip_ability_pl_strike_reduction"                                                  "%Reduc to Light:"
		"DOTA_Tooltip_ability_pl_strike_amplify"                                                  "%Amp to Shadow:"

		"DOTA_Tooltip_ability_pl_taunt"                                                   "Taunt"
		"DOTA_Tooltip_ability_pl_taunt_Description"                                       "Force target unit to focus their attacks on you."
		"DOTA_Tooltip_ability_pl_taunt_duration"                                                   "Duration:"

		///Priest 

		"DOTA_Tooltip_modifier_pr_buff"                                                   "Sacred Word"
		"DOTA_Tooltip_modifier_pr_buff_Description"                                       "Unit has increased damage, armor, health regen and magic resist"

		//-----------------------------------------------------------

		"DOTA_Tooltip_ability_pr_buff"                                                    "Sacred Word"
		"DOTA_Tooltip_ability_pr_buff_Description"                                        "Increases a target friendly unit's damage, armor, regen and adds a slight resistance to magic"
		"DOTA_Tooltip_ability_pr_buff_damage"                                                    "%Damage Increase"
		"DOTA_Tooltip_ability_pr_buff_armor"                                                    "Armor:"
		"DOTA_Tooltip_ability_pr_buff_regen"                                                    "Health Regen:"
		"DOTA_Tooltip_ability_pr_buff_magic"                                                    "%Magic Resist"
		"DOTA_Tooltip_ability_pr_buff_duration"                                                    "Duration:"

		"DOTA_Tooltip_ability_pr_fast_heal"                                               "Heal"
		"DOTA_Tooltip_ability_pr_fast_heal_Description"                                   "Heals a target friendly unit"
		"DOTA_Tooltip_ability_pr_fast_heal_heal"                                               "Heal:"

		"DOTA_Tooltip_ability_pr_full_heal"                                               "Divine Light"
		"DOTA_Tooltip_ability_pr_full_heal_Description"                                   "Instantly restores 100% of target's health and 100 of their mana."

		"DOTA_Tooltip_ability_pr_multi_heal"                                              "Healing Burst"
		"DOTA_Tooltip_ability_pr_multi_heal_Description"                                  "Fires a light at all nearby that heals on contact"
		"DOTA_Tooltip_ability_pr_multi_heal_heal"                                              "Heal:"
		"DOTA_Tooltip_ability_pr_multi_heal_radius"                                              "Radius:"

		"DOTA_Tooltip_ability_pr_nuke"                                                    "Omni Flash"
		"DOTA_Tooltip_ability_pr_nuke_Description"                                        "On enemy cast deals damage to the target unit. On grave cast will revive the unit"
		"DOTA_Tooltip_ability_pr_nuke_damage"                                                    "Damage:"
		"DOTA_Tooltip_ability_pr_nuke_reduction"                                                    "%Reduc to light:"
		"DOTA_Tooltip_ability_pr_nuke_amplify"                                                    "Amp to shadow:"

		///Ranger

		"DOTA_Tooltip_rapid_arrows"                                                       "Rapid Fire"
		"DOTA_Tooltip_rapid_arrows_Description"                                           "Rapidly firing arrows"

		"DOTA_Tooltip_rg_movement"                                                        "Sprint"
		"DOTA_Tooltip_rg_movement_Description"                                            "The Rangers movment speed is increased"

		"DOTA_Tooltip_unstable_dot"                                                       "Unstable Arcana"
		"DOTA_Tooltip_unstable_dot_Description"                                           "This unit is taking damage over time with increased magic damage"

		//----------------------------------------------------------

		"DOTA_Tooltip_ability_rg_crit_attack"                                             "Headshot"
		"DOTA_Tooltip_ability_rg_crit_attack_Description"                                 "Gives a chance to do critical strike"
		"DOTA_Tooltip_ability_rg_crit_attack_chance"                                             "%Chance:"
		"DOTA_Tooltip_ability_rg_crit_attack_multiply"                                             "%Multiply:"

		"DOTA_Tooltip_ability_rg_multishot"                                               "Multi-Shot"
		"DOTA_Tooltip_ability_rg_multishot_Description"                                   "Deals Damage to all enemies in  a short range"
		"DOTA_Tooltip_ability_rg_multishot_damage"                                               "Damage:"
		"DOTA_Tooltip_ability_rg_multishot_radius"                                               "Radius:"
		"DOTA_Tooltip_ability_rg_multishot_targets"                                               "Max Targets"

		"DOTA_Tooltip_ability_rg_rapid_fire"                                              "Rapid Fire"
		"DOTA_Tooltip_ability_rg_rapid_fire_Description"                                  "Fires 3 arrows a second at a target enemy"
		"DOTA_Tooltip_ability_rg_rapid_fire_damage"                                              "Damage per Arrow:"
		"DOTA_Tooltip_ability_rg_rapid_fire_duration"                                              "Duration:"

		"DOTA_Tooltip_ability_rg_snipe"                                                   "Snipe"
		"DOTA_Tooltip_ability_rg_snipe_Description"                                       "A precise long range shot that deals damage to an enemy"
		"DOTA_Tooltip_ability_rg_snipe_damage"                                                   "Damage:"

		"DOTA_Tooltip_ability_rg_sprint"                                                  "Sprint"
		"DOTA_Tooltip_ability_rg_sprint_Description"                                      "Run at increased movemnet speed or a short duration"
		"DOTA_Tooltip_ability_rg_sprint_speed"                                                  "%Move Speed:"
		"DOTA_Tooltip_ability_rg_sprint_duration"                                                  "Duration:"

		"DOTA_Tooltip_ability_rg_unstable"                                                "Unstable Arcana"
		"DOTA_Tooltip_ability_rg_unstable_Description"                                    "Throws a flask of unstable magic compounds that explodes and deals initial damage followed by damage over time. Also increases magic damage the boss takes from spells."
		"DOTA_Tooltip_ability_rg_unstable_damage"                                                "Initial Damage:"
		"DOTA_Tooltip_ability_rg_unstable_dot"                                                "Damage per Second:"
		"DOTA_Tooltip_ability_rg_unstable_magic"                                                "%Magic Damage Taken:"
		"DOTA_Tooltip_ability_rg_unstable_duration"                                                "Duration:"

		///Rogue

		"DOTA_Tooltip_closein_buff"                                                       "Killer Instinct"
		"DOTA_Tooltip_closein_buff_Description"                                           "Has increased damage and mana deplete on hit"

		"DOTA_Tooltip_shred_debuff"                                                       "Expose Weakness"
		"DOTA_Tooltip_shred_debuff_Description"                                           "This unit is taking 50% more damage"

		"DOTA_Tooltip_ro_unbreak"                                                         "Unbreakable Will"
		"DOTA_Tooltip_ro_unbreak_Description"                                             "Immune to Damage"

		"DOTA_Tooltip_ro_movement"                                                        "Sprint"
		"DOTA_Tooltip_ro_movement_Description"                                            "The Rogues movement speed is increased"

		//--------------------------------------------------------

		"DOTA_Tooltip_ability_ro_assassinate"                                             "Assassinate"
		"DOTA_Tooltip_ability_ro_assassinate_Description"                                 "Ferociously thrust your blades into your target's weak points dealing damage. If striking from behind, 20% more damage will be done"
		"DOTA_Tooltip_ability_ro_assassinate_damage"                                             "Damage:"

		"DOTA_Tooltip_ability_ro_closein"                                                 "Closein"
		"DOTA_Tooltip_ability_ro_closein_Description"                                     "Moving at lightning speed, you appear directly behind the boss. Grants bonus damage and mana depletion on hit. Infinite range"
